City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
313,Manggar,ID,-2.8833,108.2667,84.7,63,86,8.88,overcast clouds
314,Kemijarvi,FI,66.7131,27.4306,-0.53,99,54,0.45,broken clouds
315,Piltene,LV,57.2243,21.6744,30.15,74,100,11.5,overcast clouds
316,Gashua,NG,12.871,11.0482,57.22,16,2,10.25,clear sky
317,Kijang,KR,35.2442,129.2139,51.53,53,21,0.67,few clouds
318,Lagos,NG,6.5833,3.75,75.52,88,2,3.74,clear sky
319,Panuco,MX,22.05,-98.1667,51.98,62,100,2.48,overcast clouds
320,Mareeba,AU,-17.0,145.4333,70.52,54,87,8.57,light rain
321,De Aar,ZA,-30.6497,24.0123,69.44,55,59,11.65,broken clouds
322,Norman Wells,CA,65.282,-126.8329,-12.96,64,75,12.66,broken clouds
323,Rongcheng,CN,30.634,117.8517,47.48,93,100,2.89,moderate rain
324,Sipkovica,MK,42.035,20.9156,11.14,75,30,5.23,scattered clouds
325,Porosozero,RU,62.7191,32.727,22.84,93,98,8.79,overcast clouds
326,Vostok,RU,46.4856,135.8833,4.53,86,25,3.11,scattered clouds
327,Pozo Colorado,PY,-23.4923,-58.7972,86.04,47,8,8.84,clear sky
328,Wajima,JP,37.4,136.9,36.28,80,75,2.3,broken clouds
329,Lowestoft,GB,52.4752,1.7516,38.95,94,4,9.86,clear sky
330,Olafsvik,IS,64.8945,-23.7142,35.29,73,68,43.78,light snow
331,North Bend,US,43.4065,-124.2243,45.86,94,0,8.05,clear sky
332,Roald,NO,62.5833,6.1333,45.34,81,100,19.57,overcast clouds
333,Sur,OM,22.5667,59.5289,64.33,56,0,27.74,clear sky
334,Jiutai,CN,44.1525,125.8328,8.94,58,100,4.03,overcast clouds
335,Turukhansk,RU,65.8167,87.9833,5.38,98,100,9.82,overcast clouds
336,Ossora,RU,59.2353,163.0719,-4.04,99,88,1.41,overcast clouds
337,Karlskrona,SE,56.1616,15.5866,25.25,54,15,12.06,few clouds
338,Hervey Bay,AU,-25.2986,152.8535,86.04,58,36,7.0,scattered clouds
339,Conil,FR,44.9673,3.7177,20.71,88,81,7.58,broken clouds
340,Mayo,US,38.8876,-76.5119,26.71,54,0,8.01,clear sky
341,Sola,VU,-13.8833,167.55,90.27,70,75,3.44,broken clouds
342,Komsomolskiy,UZ,40.4272,71.7189,30.92,80,100,6.91,mist
343,Souillac,MU,-20.5167,57.5167,83.35,85,28,16.37,scattered clouds
344,Ferme-Neuve,CA,46.7001,-75.4493,-18.62,98,7,2.98,clear sky
