City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
225,Ladnun,IN,2022-01-21 01:50:30,27.65,74.3833,53.26,66,0,7.76
226,Roald,NO,2022-01-21 01:50:30,62.5833,6.1333,37.54,87,100,17.27
227,Rochegda,RU,2022-01-21 01:50:31,62.8,43.25,25.39,95,100,9.95
228,Ilovlya,RU,2022-01-21 01:51:31,49.3033,43.9796,11.5,100,100,5.59
229,Nortelandia,BR,2022-01-21 01:51:31,-14.4547,-56.8028,73.24,92,76,3.29
230,Yuanping,CN,2022-01-21 01:51:31,38.7153,112.7575,18.97,90,100,2.1
231,Tasiilaq,GL,2022-01-21 01:51:32,65.6145,-37.6368,33.91,96,100,13.71
232,Tuktoyaktuk,CA,2022-01-21 01:51:32,69.4541,-133.0374,-20.2,69,75,16.11
233,Tiksi,RU,2022-01-21 01:51:32,71.6872,128.8694,-14.58,96,64,10.54
234,Turayf,SA,2022-01-21 01:51:33,31.6725,38.6637,25.05,100,0,0.0
235,Camana,PE,2022-01-21 01:51:33,-16.6228,-72.7111,72.19,87,97,7.96
236,Ola,RU,2022-01-21 01:51:33,59.5833,151.2833,1.74,76,5,5.03
237,Fortuna,US,2022-01-21 01:51:33,40.5982,-124.1573,53.94,92,77,1.99
238,Nemuro,JP,2022-01-21 01:51:34,43.3236,145.575,28.83,71,95,21.77
239,Casino,AU,2022-01-21 01:51:34,-28.8667,153.05,76.75,78,91,11.5
240,Fare,PF,2022-01-21 01:51:34,-16.7,-151.0167,81.25,76,100,18.57
241,Biak,ID,2022-01-21 01:51:34,-0.9131,122.8766,82.33,71,78,0.96
242,Ishigaki,JP,2022-01-21 01:51:35,24.3448,124.1572,66.33,72,75,19.57
243,Lodja,CD,2022-01-21 01:51:35,-3.4833,23.4333,68.85,98,100,0.74
244,Charagua,BO,2022-01-21 01:51:35,-19.8,-63.2167,74.57,66,7,7.9
245,Borzya,RU,2022-01-21 01:51:35,50.3833,116.5167,-2.09,97,98,1.41
246,Pantayivka,UA,2022-01-21 01:51:36,48.674,32.8841,26.33,96,98,9.48
247,Bengkulu,ID,2022-01-21 01:51:36,-3.8004,102.2655,76.44,85,100,3.42
248,Namatanai,PG,2022-01-21 01:51:36,-3.6667,152.4333,83.34,73,100,9.89
249,Klamath Falls,US,2022-01-21 01:51:36,42.2249,-121.7817,46.31,71,75,9.22
250,Mahdasht,IR,2022-01-21 01:51:37,35.7299,50.8111,25.02,68,0,24.16
251,Price,US,2022-01-21 01:51:37,39.5994,-110.8107,34.86,51,0,0.0
252,Cap Malheureux,MU,2022-01-21 01:51:37,-19.9842,57.6142,81.09,87,29,7.0
253,Hun,LY,2022-01-21 01:51:38,29.1268,15.9477,49.28,59,3,4.92
254,Teguldet,RU,2022-01-21 01:51:38,57.3064,88.1667,0.72,99,99,1.88
255,Labuhan,ID,2022-01-21 01:51:38,-6.8844,112.2051,77.13,82,100,5.41
256,Lompoc,US,2022-01-21 01:51:38,34.6391,-120.4579,64.56,84,0,5.75
257,Baykit,RU,2022-01-21 01:51:39,61.67,96.37,-8.34,100,98,1.01
258,Russell,US,2022-01-21 01:51:39,32.3502,-85.1999,43.88,89,100,10.36
259,San Quintin,MX,2022-01-21 01:49:51,30.4833,-115.95,62.33,58,0,4.45
260,Andros Town,BS,2022-01-21 01:50:15,24.7,-77.7667,73.36,81,5,11.61
261,Sinazongwe,ZM,2022-01-21 01:51:39,-17.2614,27.4618,73.54,59,22,2.89
262,Hami,CN,2022-01-21 01:51:40,42.8,93.45,27.63,42,100,4.34
263,Qandala,SO,2022-01-21 01:51:40,11.472,49.8728,73.63,77,35,2.06
264,Mezhova,UA,2022-01-21 01:51:40,48.2532,36.7347,33.6,95,100,17.54
265,Deputatskiy,RU,2022-01-21 01:51:40,69.3,139.9,-19.88,76,46,6.13
266,Busovaca,BA,2022-01-21 01:51:41,44.0975,17.8789,35.11,94,100,5.99
267,Makarov,RU,2022-01-21 01:51:41,48.6333,142.8,17.44,78,72,8.93
268,Hazorasp,UZ,2022-01-21 01:51:41,41.3194,61.0742,24.64,83,100,9.44
269,Irbeyskoye,RU,2022-01-21 01:51:41,55.6428,95.4522,-11.06,100,94,2.68
270,Port Alfred,ZA,2022-01-21 01:51:42,-33.5906,26.891,72.55,84,98,16.71
271,Aklavik,CA,2022-01-21 01:51:42,68.2191,-135.0107,-21.17,89,15,7.05
272,Mehamn,NO,2022-01-21 01:51:42,71.0357,27.8492,26.47,76,100,22.84
273,Coihaique,CL,2022-01-21 01:51:42,-45.5752,-72.0662,56.01,100,100,3.44
274,Lar,IN,2022-01-21 01:51:43,26.2039,83.9717,52.29,73,2,0.51
275,Haines Junction,CA,2022-01-21 01:52:43,60.7522,-137.5108,4.95,78,100,1.14
276,San Patricio,US,2022-01-21 01:52:43,28.017,-97.5169,39.29,52,100,16.22
277,Port Hardy,CA,2022-01-21 01:52:43,50.6996,-127.4199,43.75,93,40,5.75
278,Ganzhou,CN,2022-01-21 01:50:20,28.8184,115.4327,48.31,86,100,5.7
279,Strezhevoy,RU,2022-01-21 01:52:44,60.7333,77.5889,13.98,94,100,7.99
280,Epinal,FR,2022-01-21 01:52:44,48.1833,6.45,33.35,97,62,4.25
281,Opunake,NZ,2022-01-21 01:52:44,-39.4556,173.8583,72.34,63,34,9.8
282,Asau,RO,2022-01-21 01:52:44,46.4333,26.4,30.96,92,57,5.39
283,Kijang,KR,2022-01-21 01:52:45,35.2442,129.2139,33.53,45,1,4.81
284,Vikhorevka,RU,2022-01-21 01:52:45,56.1201,101.1636,9.99,99,97,0.98
285,Nuuk,GL,2022-01-21 01:52:45,64.1835,-51.7216,16.88,78,100,11.99
